Item_Identifier,Item_Weight,Outlet_Size
FDA15,9.3,Medium
DRC01,5.92,Medium
FDN15,17.5,Medium
FDX07,19.2,Medium
NCD19,8.93,High
FDP36,10.395,Medium
FDO10,13.65,High
FDP10,12.6,Medium
FDH17,16.2,Medium
FDU28,19.2,Medium
FDY07,11.8,Medium
FDA03,18.5,Small
FDX32,15.1,Medium
FDS46,17.6,Small
FDF32,16.35,High
FDP49,9.0,Small
NCB42,11.8,Medium
FDP49,9.0,Medium
DRI11,12.6,Medium
FDU02,13.35,Small
FDN22,18.85,High
FDW12,12.6,Medium
NCB30,14.6,Small
FDC37,12.6,Small
FDR28,13.85,Small
NCD06,13.0,Medium
FDV10,7.645,Small
DRJ59,11.65,High
FDE51,5.925,Medium
FDC14,12.6,Small
FDV38,19.25,Medium
NCS17,18.6,Medium
FDP33,18.7,Medium
FDO23,17.85,Medium
DRH01,17.5,Small
NCX29,10.0,Medium
FDV20,12.6,Medium
DRZ11,8.85,Medium
FDX10,12.6,Medium
FDB34,12.6,Medium
FDU02,13.35,Small
FDK43,9.8,High
FDA46,13.6,Medium
FDC02,21.35,Medium
FDL50,12.15,High
FDM39,6.42,Medium
NCP05,19.6,Medium
FDV49,10.0,Medium
FDL12,15.85,Small
FDS02,12.6,Small
NCL17,7.39,Small
FDM40,10.195,High
FDR13,9.895,High
FDA43,10.895,Medium
NCP18,12.15,Medium
FDK21,7.905,Medium
NCX54,9.195,Medium
DRK35,8.365,Medium
FDY21,15.1,Small
FDI26,12.6,Small
FDM20,10.0,Medium
FDV27,7.97,Medium
FDF09,12.6,Medium
FDY40,12.6,Small
FDY45,12.6,Medium
FDC46,17.7,Medium
FDH19,19.35,Small
FDZ03,13.65,Medium
DRH37,17.6,Medium
NCI17,8.645,Small
FDJ58,15.6,Small
FDL12,15.85,High
FDH35,18.25,Medium
FDG02,7.855,Medium
NCZ18,7.825,Medium
FDC29,8.39,Small
FDQ10,12.85,Medium
FDN48,12.6,Small
FDL04,19.0,Medium
FDV25,5.905,Medium
FDD58,7.76,Small
FDN04,11.8,Small
FDV45,16.75,Medium
NCL18,12.6,Small
FDR12,12.6,Medium
FDG20,15.5,Medium
FDZ55,6.055,Small
FDQ49,12.6,Medium
FDN33,6.305,Small
FDN27,20.85,Medium
FDW20,20.75,Medium
DRG27,8.895,Medium
DRI25,19.6,Medium
