Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1872.6219922974888
FDW14,OUT017,1373.9083795610968
NCN55,OUT010,3596.000380225829
FDQ58,OUT017,2541.72004021045
FDY38,OUT027,3581.550470595699
FDH56,OUT046,1853.2494058297525
FDL48,OUT018,501.13876024621277
FDC48,OUT027,1655.2317651219382
FDN33,OUT045,1200.490219713247
FDA36,OUT017,3090.9429378045643
FDT44,OUT017,1515.3115836541147
FDQ56,OUT045,1116.7260150557559
NCC54,OUT019,3440.293753257163
FDU11,OUT049,1804.2307703570514
DRL59,OUT013,1126.3847844669363
FDM24,OUT049,2314.7579215557926
FDI57,OUT045,3045.570973556725
DRC12,OUT018,2931.8889238795273
NCM42,OUT027,2046.2255629498504
FDA46,OUT010,2410.1512062763977
FDA31,OUT013,2700.7185215260906
NCJ31,OUT035,3081.9931551314294
FDG52,OUT046,738.6711438747479
NCL19,OUT019,2559.6406321780923
FDS10,OUT035,2825.972735873587
FDX22,OUT010,3414.287994496437
NCF19,OUT035,782.6696653178005
NCE06,OUT046,2441.7553192807754
DRC27,OUT046,3848.073115834399
FDE21,OUT035,1915.8726221761463
NCR42,OUT019,656.4287565586274
FDX51,OUT018,3094.4276891625486
NCR06,OUT018,764.2133751155379
FDU31,OUT027,3749.105786062759
FDU59,OUT017,2324.9034218679153
FDR03,OUT027,3624.814845199944
FDS49,OUT027,1357.9359168224146
FDD48,OUT010,1847.6554567966814
NCF18,OUT017,2721.8565528340223
NCD43,OUT027,2003.406220218203
NCD54,OUT018,2190.4144596165315
FDY19,OUT010,1749.708683097815
NCY54,OUT017,2090.196526151234
NCL19,OUT018,2307.217262147722
FDP23,OUT010,3439.6542174740825
FDC26,OUT013,1627.4821682995462
FDR14,OUT010,-160.4044013352759
NCS41,OUT035,2819.3430234897824
FDF41,OUT035,3484.489781542139
FDU34,OUT046,1874.0525931287848
DRH11,OUT046,883.5056630652471
FDM03,OUT013,1542.6784116979652
FDS31,OUT017,2782.6963609626255
FDJ20,OUT017,1566.8347146915366
FDV44,OUT027,3228.6190756077667
FDG02,OUT049,3194.690177405919
FDA09,OUT013,3235.7799381385557
FDT04,OUT013,521.5688430185546
FDL58,OUT019,3984.0413857046224
FDE52,OUT045,1513.0901312319365
FDW12,OUT035,2326.467734893373
FDL51,OUT017,3254.1875870004988
NCY42,OUT027,2600.0499190140836
FDR07,OUT017,1266.5986461654902
FDN40,OUT045,2259.121705705369
FDB35,OUT027,1580.827020433455
FDA22,OUT017,2394.1440827899096
NCL06,OUT046,4059.1248789384517
FDI35,OUT013,3069.928606210229
NCW42,OUT045,3392.10639326648
NCX06,OUT049,2982.151062414767
FDC37,OUT027,2002.2991607337754
FDZ14,OUT018,1855.0215774768476
DRG49,OUT049,3821.191761767397
NCG06,OUT045,4075.3716606002017
DRC36,OUT045,2734.555081212009
FDV21,OUT019,1053.0140688844076
FDB53,OUT046,1981.7132905853032
DRP47,OUT019,3287.5321533311435
FDA14,OUT013,2385.9079227196053
DRC24,OUT035,2442.8921753072646
FDW21,OUT018,1718.6156251330758
NCH29,OUT046,1702.1336718873827
FDU58,OUT013,3284.1866261372634
FDY27,OUT017,2824.453599990349
FDV56,OUT035,1820.6666075999347
FDT59,OUT046,3819.7799806348303
FDB23,OUT046,3755.5190619046516
FDR49,OUT045,340.1484820932819
FDB03,OUT010,2846.9397166500894
FDN39,OUT045,2778.522933222641
FDX02,OUT027,3688.5972905754097
FDQ16,OUT027,1956.0125148357183
FDU35,OUT018,1360.59595085587
NCT29,OUT013,2051.1656601716713
FDZ27,OUT046,997.5845725124636
FDN57,OUT017,2072.7858749084517
FDA03,OUT018,2165.363171532663
FDZ36,OUT045,2867.9725430357794
NCU05,OUT013,1440.0405647732478
FDT39,OUT018,2484.3407244651353
FDK60,OUT017,1227.2850424792741
FDZ25,OUT017,2659.6972849868143
FDG12,OUT046,2209.647511456824
DRB01,OUT019,2799.830367202281
NCC43,OUT027,3956.4322262915557
FDX13,OUT019,3964.550176823501
FDM22,OUT049,899.4059635923513
FDJ03,OUT027,897.3521915011734
FDU14,OUT018,4003.673882724921
FDB33,OUT010,2626.464136572351
FDP27,OUT046,2758.609702400001
FDO38,OUT010,901.3084883379051
FDE28,OUT027,3487.435435187086
FDO27,OUT035,915.6128998827153
DRL23,OUT027,2064.387250457694
FDS28,OUT046,822.5635023649629
FDX24,OUT013,1840.7154594694439
FDZ02,OUT035,1565.8157698793475
FDL46,OUT045,1764.3848600928868
FDS60,OUT027,3106.529343880142
NCO06,OUT017,144.81311271574305
FDO16,OUT035,1494.97995276023
FDC60,OUT049,1155.1511863525338
FDA48,OUT018,3051.5521949139656
FDZ36,OUT027,3372.5490594717194
FDK27,OUT045,2081.509911160254
FDW23,OUT018,404.3692722201631
FDM14,OUT018,1784.8012995191712
FDM14,OUT013,2057.219529744103
FDW60,OUT018,2873.3728233768597
FDE21,OUT013,2147.5870744797758
NCM42,OUT035,1818.1737400349084
FDY59,OUT010,1537.3929537266013
DRI49,OUT049,697.2458120321098
FDT28,OUT019,2318.8678478856054
FDQ22,OUT018,590.9195361825878
FDR60,OUT049,862.5736759772481
FDC50,OUT019,856.4522441944282
FDV24,OUT013,2377.27714176488
DRF48,OUT010,3265.1026470864344
FDQ47,OUT046,136.96665160964767
DRN36,OUT049,1547.2821772112293
NCY06,OUT035,1916.5755077143622
FDE52,OUT035,1476.5823463622764
NCB54,OUT045,2005.4331108276747
NCF31,OUT035,2369.1676392648806
FDJ08,OUT027,2925.6993181192265
NCC07,OUT017,1667.0222098873019
NCD19,OUT027,1240.9410143552268
FDL46,OUT049,2082.361967597735
FDM20,OUT045,3913.0447825998126
NCI06,OUT010,2747.0848345762097
DRM11,OUT035,3986.4813738859048
NCH07,OUT018,2182.058921944197
FDS23,OUT013,1864.2334508857712
FDO49,OUT018,759.9968664915214
FDS35,OUT049,802.8555127719956
DRK39,OUT045,1322.6752485678771
DRI39,OUT049,732.0116334888698
FDV04,OUT017,1971.3301305500354
NCN14,OUT035,2597.9512056353087
FDH08,OUT013,3993.913071660554
FDS20,OUT046,2932.8660283646277
FDV40,OUT049,1352.8317114211495
FDZ48,OUT010,1403.55866634427
FDS24,OUT027,1547.4427436530204
FDK44,OUT049,2414.726713333719
FDS48,OUT045,2563.6035802449805
FDK26,OUT010,2999.5790604520844
FDD23,OUT045,2970.423722411644
NCH54,OUT017,2345.3441331806025
NCP14,OUT010,1134.847699398113
FDM60,OUT010,543.5529266841586
FDV24,OUT017,2092.065078570442
FDH08,OUT018,3655.799651648067
FDS12,OUT027,1668.6989371919844
FDR39,OUT027,2903.9425399655083
FDP12,OUT027,826.351971180422
DRF60,OUT027,3919.1091507265264
FDC09,OUT035,1669.2763078744574
FDF50,OUT018,2743.9537847103165
FDG28,OUT035,3806.172140284267
NCE19,OUT017,623.0855540738266
NCM53,OUT010,1542.9648857879292
NCN18,OUT049,2023.6111557722252
FDF32,OUT035,2980.870355092804
FDF11,OUT013,4107.975274376255
DRI59,OUT049,3619.308933007069
NCG54,OUT035,2489.3964774470296
FDM44,OUT046,1740.2234144571703
FDT57,OUT018,3720.0830893694656
FDV24,OUT046,2230.333638637072
FDI50,OUT019,3774.542747409898
FDS09,OUT035,654.1158264262885
NCC31,OUT027,2785.7719510022325
FDQ07,OUT019,3188.2348552240546
FDC22,OUT017,2567.4486556318443
FDZ56,OUT046,2804.0069501630132
FDZ40,OUT019,984.0570957439013
FDS46,OUT027,2096.476955747221
DRD24,OUT045,2277.2618881344206
FDV45,OUT017,2884.6315614361592
FDL26,OUT045,2297.839841905352
FDA56,OUT018,2033.5064726151068
FDN27,OUT046,1915.5817927882563
FDM20,OUT049,3935.5388331590148
FDO16,OUT017,1425.3095458698954
